Gender,ClassYear,GPA,CreditsEarned,TransferCredits,APCredits
F,U2,3.38,34,8,8
M,U2,2.33,24,8,0
F,U2,2,30,8,0
M,U4,3.07,104,0,20
F,U3,1.91,24,16,0
F,U4,3.24,96,0,24
F,U3,3.41,33,0,36
F,U2,3.5,30,0,36
M,U4,3.09,65,33,0
M,U4,2.44,98,0,4
F,U2,3.52,52,6,16
M,U4,2.4,92,0,0
M,U3,3.28,65,0,28
F,U2,3.68,32,0,0
F,U4,3.66,98,0,0
F,U4,3.1,116,3,0
F,U4,3.1,106,0,8
F,U4,3.12,102,0,24
M,U3,2.01,32,18,0
F,U2,2.76,40,0,4
M,U3,2.46,57,0,20
F,U2,2.75,30,0,0
F,U2,2.33,26,0,0
F,U2,3.6,32,0,16
M,U2,3.57,40,0,32
F,U3,3.12,66,0,0
F,U3,3.39,30,8,0
M,U2,3.34,32,0,20
F,U3,3.38,78,12,0
F,U2,2.44,36,0,16
F,U3,3.09,72,0,0
M,U3,3.73,36,28,32
F,U3,3.43,73,0,12
F,U2,3.5,32,0,20
F,U4,3.68,104,0,0
F,U2,3.93,36,0,20
M,U4,3.15,82,0,20
M,U2,3.43,32,0,12
F,U2,2.92,30,25,0
M,U2,3.28,32,0,4
M,U3,3.55,33,0,32
F,U4,3.97,70,0,44
F,U2,3.67,36,0,8
F,U4,2.34,112,0,0
M,U4,3.21,100,0,0
F,U2,2.11,24,0,24
F,U2,2.6,22,0,0
M,U4,2.52,69,24,0
M,U3,2.6,69,0,12
F,U3,2.71,64,0,0
M,U3,3.8,70,0,36
F,U3,3.19,65,0,4
M,U4,2.85,104,0,8
F,U4,3.6,100,0,32
F,U4,3.24,40,55,0
F,U4,3.23,61,54,0
F,U2,2.96,33,0,0
F,U2,2.71,28,0,8
F,U4,2.71,99,0,0
F,U4,3.28,90,0,20
F,U4,3.02,99,9,8
F,U4,3.96,64,4,36
F,U2,3.45,32,0,12
M,U2,3.35,33,0,16
F,U4,3.86,68,0,44
F,U3,3.66,64,0,0
F,U4,2.75,104,0,8
F,U3,3.43,38,29,24
F,U3,3.78,76,0,24
F,U4,2.78,101,0,16
F,U4,3.84,98,0,0
M,U3,3.7,32,0,36
M,U4,1.91,60,0,12
F,U2,3.05,33,0,8
F,U4,2.58,106,0,0
M,U4,2.64,162,0,0
F,U3,3.14,56,0,4
M,U2,3.62,44,0,16
M,U3,3.87,68,0,28
M,U2,3.89,32,0,12
F,U2,3.62,37,0,20
F,U3,3.32,72,0,0
F,U4,2.55,92,10,0
F,U3,2.11,57,0,12
F,U4,2.52,130,0,4
F,U2,3.49,28,8,12
M,U2,3.02,42,0,8
F,U4,2.46,100,0,0
F,U2,3.49,52,0,0
F,U3,3.33,64,0,24
F,U2,3.88,32,8,0
M,U2,3.33,33,0,0
F,U2,3.09,31,0,0
F,U4,2.77,96,6,16
M,U2,2.91,28,0,8
F,U3,3.21,64,0,24
M,U4,3.12,116,0,8
M,U4,3.7,65,0,36
M,U4,2.41,108,0,0
F,U2,2.28,33,0,0
F,U4,3.87,101,0,4
F,U4,3.15,88,0,16
F,U4,3.78,123,0,0
F,U4,3.05,112,0,24
F,U3,2.56,58,0,0
M,U4,2.97,69,51,0
F,U4,3.4,98,6,0
F,U2,2.43,21,0,0
F,U2,2.9,24,9,0
M,U3,2.64,52,0,0
F,U3,2.79,61,0,0
M,U4,2.83,92,0,20
F,U4,2.95,128,0,0
F,U3,3.37,72,0,0
F,U4,2.61,44,53,0
M,U4,3.05,104,8,0
M,U2,3.36,32,8,8
F,U2,3.08,32,0,0
M,U4,2.91,108,8,8
F,U3,3.69,74,0,8
M,U4,2.15,88,0,0
M,U2,3.2,32,0,8
M,U3,3.64,76,8,8
F,U3,2.58,58,0,0
F,U4,3.47,107,0,0
F,U2,3.24,28,8,0
F,U4,3.01,91,0,24
F,U2,3.76,32,0,24
F,U2,3.41,41,0,0
M,U2,3.41,33,0,0
F,U2,2.32,30,0,0
F,U4,2.89,84,7,0
M,U2,3.46,37,0,0
F,U4,2.71,100,0,0
M,U2,2.38,33,0,0
F,U2,3.04,28,0,0
M,U3,2.4,46,40,0
F,U2,1.85,28,0,0
M,U3,2.91,32,24,8
M,U3,3.78,82,0,0
M,U2,2.91,34,0,8
M,U3,1.98,65,0,0
F,U2,3.48,34,0,12
F,U3,3,61,4,0
F,U3,2.92,68,4,0
M,U2,3.68,34,0,20
F,U2,2.67,26,0,24
M,U3,3.12,77,0,0
M,U2,3.63,32,0,28
M,U4,2.51,82,0,0
M,U2,2.8,36,0,0
F,U4,3.4,115,0,0
F,U3,3.5,69,0,8
F,U4,2.64,90,0,0
F,U2,3.21,33,0,4
F,U4,3.66,96,0,40
M,U4,3.76,112,0,0
F,U4,3.27,116,0,0
M,U4,2.98,96,0,0
M,U3,3.81,90,0,8
M,U4,3,114,0,0
F,U3,3.59,68,0,24
F,U4,3.6,101,3,12
F,U4,3.69,96,0,0
M,U4,3.88,75,0,36
F,U4,3.63,92,0,20
F,U3,3.08,64,0,24
M,U4,3.66,100,0,0
M,U3,2.59,83,0,0
F,U4,2.9,99,6,28
M,U3,3.46,92,0,0
F,U4,3.18,92,2,36
M,U4,3.82,115,0,24
F,U3,2.98,64,0,0
F,U4,3,96,0,0
F,U2,2.53,30,0,16
M,U3,3.72,69,0,0
F,U3,3.55,68,0,32
F,U2,3.94,40,0,24
F,U3,1.5,20,52,0
F,U4,3.14,100,0,20
F,U4,2.51,43,81.1,0
F,U2,3.14,32,0,0
M,U4,2.04,131,0,0
F,U4,2.14,68,10,0
F,U2,2.8,28,0,12
M,U4,3.82,97,0,12
M,U4,3.1,85,0,0
M,U4,3.54,97,0,64
F,U4,2.45,92,0,0
F,U2,2.97,26,0,0
M,U2,2.53,30,0,8
M,U3,3.54,68,6,8
F,U3,2.66,68,0,4
F,U2,2.92,31,0,0
F,U3,3.27,64,3,0
M,U3,3.14,56,0,16
M,U3,2.71,65,0,4
F,U2,3.46,34,0,0
M,U4,2.56,90,27,0
F,U3,2.47,76,0,0
M,U2,2.39,28,0,16
M,U2,2.43,32,0,0
F,U2,2.96,32,0,0
F,U2,2.18,32,0,0
M,U4,3.45,114,43,0
M,U2,2.75,32,0,0
F,U3,3.67,64,0,24
F,U4,3,102,0,20
M,U4,2.4,77,0,0
M,U2,3.63,29,0,4
F,U2,2.9,28,0,0
F,U3,2.34,32,24,0
M,U2,3.09,32,0,0
F,U2,2.89,32,0,12
F,U4,3.23,103,14,0
M,U4,2.46,100.5,0,8
F,U3,2.66,65,0,8
M,U4,3.5,96,0,12
M,U3,3.58,69,0,44
F,U3,3.02,65,8,12
F,U2,3.22,36,0,0
M,U4,2.01,128,3,0
F,U2,3.29,32,0,4
F,U2,3.38,32,0,0
F,U4,3.57,86,16,32
M,U3,3.39,63,0,12
M,U4,3.52,104,0,24
M,U2,2.95,25,0,8
F,U2,3.29,29,0,12
M,U3,3.47,28,0,28
F,U4,3.69,92,0,8
F,U3,3.63,60,0,12
M,U3,2.63,28,0,40
F,U4,3.26,96,0,0
F,U3,3.76,32,10,0
M,U4,3.96,98,13,76
F,U4,3.21,102,0,0
M,U3,3.22,60,0,4
F,U4,3.57,98,4,16
F,U4,3.17,96,4,20
M,U3,3.21,60,0,32
M,U4,3.28,68,0,0
M,U4,3.59,100.5,0,0
F,U3,3.59,32,23,0
M,U3,3.23,64,0,0
M,U2,2.38,24,0,0
M,U4,3.27,96,0,12
M,U3,4,68,14,0
M,U4,3.58,100,0,12
F,U4,2.83,72,14,4
F,U4,2.64,94,6,0
M,U4,3.74,98,0,28
M,U4,2.9,64,22,0
M,U2,2.11,33,0,0
F,U4,3.03,74,0,0
F,U2,3.89,32,0,8
M,U4,2.89,65,0,64
M,U4,3.97,104,8,24
F,U3,3.38,65,0,0
F,U2,3.21,33,0,32
M,U4,3.58,96,0,0
M,U2,3.06,28,0,32
M,U4,3.2,96,0,4
M,U2,3.5,32,0,20
F,U4,2.57,56,52,12
F,U4,3.94,96,0,44
M,U2,3.29,35,0,36
M,U3,3.62,68,0,12
F,U3,3.43,16,54,4
F,U4,2.8,92,0,36
F,U2,3.76,33,0,28
M,U2,2,20,0,0
M,U4,3.85,96,0,28
F,U3,2.93,64,0,8
F,U4,3.71,109,0,4
F,U2,3.71,32,0,8
M,U3,3.31,60,0,0
F,U2,3.08,36,0,0
F,U2,2.25,33,0,0
F,U4,3.72,96,0,36
F,U2,1.84,25,0,28
F,U3,2.92,64,0,0
M,U3,3.18,40,29,0
F,U4,3.22,123,0,0
F,U4,3.63,101,0,8
M,U2,2.6,16,0,12
F,U4,3.33,96,0,0
F,U3,2.79,32,34,0
F,U2,3.68,32,0,0
F,U3,2.8,64,0,0
F,U3,3.81,32,0,28
F,U4,2.71,72,0,24
F,U2,2.73,34,0,0
F,U4,3.76,96,0,16
F,U2,3.59,32,0,0
F,U3,3.66,68,0,20
M,U4,2.19,92,0,20
F,U4,3.67,42,0,28
M,U4,2.38,56,31,8
F,U2,3.48,37,0,4
M,U2,3.84,43,0,44
F,U2,3.48,33,4,24
F,U3,3.59,64,0,12
F,U2,2.54,32,0,8
F,U2,2.58,32,4,0
F,U2,3.21,34,7,16
M,U2,3.08,33,0,8
F,U2,3.21,33,0,0
F,U4,3.37,107,0,0
F,U3,2.81,48,52,0
F,U2,3.59,33,0,8
F,U4,3.69,65,0,44
M,U2,2.67,28,0,0
F,U2,3.2,32,0,4
F,U3,3.05,61,0,8
F,U2,3.5,33,0,8
M,U3,3.46,32,24,0
F,U4,1.95,66,47.5,0
F,U4,2.93,96,0,8
F,U4,3.46,124,0,0
M,U2,3.04,32,0,8
M,U2,2.47,28,8,0
F,U3,3.63,60,0,16
M,U3,3.49,64,0,16
F,U2,2.43,32,0,0
F,U3,1.45,12,6,12
M,U2,3.2,29,0,8
F,U4,3.3,116,0,20
F,U3,2.74,64,0,16
M,U2,3.26,32,26,0
F,U4,3.13,96,0,8
F,U2,2.96,32,0,16
F,U4,3.17,92,6,12
F,U2,3.71,33,0,16
F,U2,3.07,35,0,20
F,U3,3.37,68,3,4
M,U3,3.32,92,0,0
F,U3,3.08,60,0,20
F,U2,2.65,27,0,0
F,U3,3.91,68,6,16
F,U4,3.6,104,0,0
F,U4,3.09,110,0,8
F,U3,2.91,64,0,12
F,U2,3.19,29,10,12
F,U4,3.62,97,0,12
M,U3,2.62,64,0,16
F,U4,2.28,96,0,0
F,U2,2.53,32,0,0
M,U4,3.55,96,0,8
M,U2,3.81,32,12,0
M,U3,2.45,60,0,12
F,U2,3.38,32,4,0
F,U3,2.39,60,0,12
M,U4,3.58,48,11,24
M,U3,3.69,60,0,12
F,U2,3.11,32,0,20
F,U4,2.88,94,0,0
M,U4,2.74,96,0,4
F,U4,3.09,92,0,8
M,U2,3.29,28,0,20
F,U4,3.73,110,0,40
M,U4,3.88,69,0,0
F,U3,3.05,61,0,4
M,U4,3.72,134,0,0
F,U3,3.67,77,0,20
M,U2,3.64,34,12,16
M,U2,3,32,0,28
M,U4,2.51,132,0,4
F,U4,2.78,93,8,16
F,U3,3.5,70,0,40
M,U2,3.73,32,0,24
F,U2,2.84,32,0,8
F,U3,3.01,65,0,0
F,U4,3.43,81,0,20
F,U3,2.31,52,3,0
M,U3,3.42,69,6,44
F,U4,3.31,100,0,32
F,U2,2.99,32,19,0
M,U4,2.93,100,0,16
F,U3,3.83,64,0,16
F,U3,3.31,64,0,4
F,U3,3.25,64,0,12
F,U4,3.77,66,31,20
F,U4,3.83,93,0,24
M,U4,3.01,92,8,20
F,U2,2.38,24,4,0
F,U3,3.14,33,30,0
M,U4,3.26,28,0,0
F,U4,2.78,89,20,0
F,U4,3.4,88,0,24
F,U3,2.3,48,0,20
M,U4,2.18,88,0,4
F,U4,3.41,94,0,32
M,U2,3.09,32,0,0
F,U4,1.98,61,32,0
F,U2,3.29,32,0,0
M,U3,2.69,62,8,20
M,U4,2.54,64,27,0
M,U2,3.46,32,0,8
M,U3,3.63,32,6,56
F,U2,2.85,33,6,4
M,U4,3.19,100,0,12
M,U3,3.17,65,0,12
F,U3,3.71,30,0,36
M,U4,2.66,96,0,4
M,U4,2.41,94,0,16
M,U4,2.84,92,0,0
F,U4,2.99,94,0,0
M,U2,3.43,32,0,40
F,U4,3.98,65,0,40
M,U3,2.89,64,0,12
M,U3,3.78,72,6,0
M,U2,3.46,32,0,28
M,U2,2.81,48,0,4
M,U2,1.97,42,0,0
F,U3,2.34,32,47,0
F,U2,3.36,32,0,20
M,U4,2,112,24,0
M,U3,3.31,68,0,8
M,U4,3.99,102,0,32
F,U2,3.86,28,0,24
M,U2,2.81,40,0,4
F,U2,3.51,29,0,20
M,U4,2.98,92,0,0
F,U4,3.3,96,0,0
M,U4,2.5,98,0,0
M,U4,3.86,64,0,52
M,U4,1.93,116,0,0
F,U4,3.79,105,0,16
F,U3,2.76,64,0,8
F,U2,2.96,34,0,20
M,U4,3.45,96,0,0
F,U2,3.48,32,0,0
F,U2,2.21,32,8,4
F,U3,3.62,60,0,32
F,U2,3.37,29,0,4
F,U4,3.66,73,0,36
F,U3,3.85,44,0,24
M,U4,2.89,92,3,4
F,U2,3.3,28,0,0
M,U4,2.52,96,0,24
F,U2,3.41,33,0,0
F,U4,3.58,100,0,12
F,U2,3.6,44,0,0
F,U2,3.16,33,0,16
F,U2,3.16,34,0,0
M,U4,2.8,98,0,0
M,U4,3.03,103,0,8
F,U2,3.63,33,22,0
F,U3,3.85,70,4,24
F,U4,3.62,92,3,24
F,U3,3.1,64,6,0
M,U4,2.85,93,0,28
M,U4,3.28,98,4,0
M,U2,2.84,36,0,44
F,U2,3.48,32,0,16
F,U4,3.23,97,0,0
M,U2,3.46,32,0,12
M,U4,2.17,104,8,0
F,U4,2.97,96,0,0
F,U2,3.1,28,0,20
M,U2,3.28,32,0,0
M,U4,3.58,100,0,20
M,U4,2.75,114,0,8
F,U2,3.41,32,3,28
F,U4,3.59,100,8,12
M,U4,2.63,92,33,0
F,U4,2.36,90,9,16
F,U2,3.68,32,0,16
F,U4,3.95,112,0,68
M,U2,1.2,16,0,8
F,U4,3.43,97,0,32
F,U2,3.07,34,0,0
M,U4,2.88,96,0,4
M,U4,2.44,68,20,28
M,U4,3.12,88,0,4
F,U3,3.22,62,0,0
F,U3,2.55,53,0,8
F,U4,3.57,95,0,28
F,U3,3.62,40,26,0
M,U3,3.76,64,0,12
F,U3,3.77,60,0,32
M,U4,3.98,65,0,32
F,U4,2.85,98,4,0
M,U2,2.81,28,0,12
M,U2,2.79,32,0,0
F,U3,3.53,64,0,0
M,U4,2.69,94,0,0
F,U3,2.3,66,0,0
F,U3,3.29,72,0,0
M,U2,3.71,36,0,40
M,U4,3.52,106,0,0
F,U4,2.79,76,28,0
F,U3,3.69,64,0,16
M,U2,2.05,24,0,16
M,U2,2.78,32,4,0
M,U4,3.86,102,0,32
F,U2,3.59,32,0,0
F,U2,2.95,34,0,24
M,U3,2.61,64,4,4
M,U3,3.29,52,4,8
F,U3,2.97,70,0,12
F,U3,2.68,16,27,0
M,U3,3.2,64,0,24
F,U3,3.35,68,0,0
F,U2,3.16,32,0,12
M,U3,3.88,32,0,32
F,U4,2.88,84,0,0
F,U4,2.95,88,8,0
M,U3,3.13,74,0,28
M,U3,3.16,68,0,16
M,U2,3.6,32,0,0
M,U4,2.7,96,0,0
F,U3,3.39,73,0,0
M,U2,2.74,35,0,32
F,U4,2.79,94.5,3,4
F,U3,2.81,28,27,0
F,U2,3.14,32,0,0
F,U3,3.43,65,0,0
F,U3,2.5,64,0,8
M,U2,2.82,33,0,24
F,U4,3.84,65,11,36
M,U3,3.06,64,0,0
F,U4,3.3,136,0,8
F,U2,3.79,37,0,16
F,U3,3.65,70,0,8
M,U2,1.7,36,0,0
F,U4,3.77,97,0,24
F,U3,3.33,56,0,0
M,U4,3.15,108,0,24
F,U3,3.63,74,0,24
F,U2,3.29,28,0,16
M,U4,3.47,97,0,24
F,U3,3.84,64,0,24
M,U4,3.28,108,0,0
M,U4,2.74,100,0,20
F,U2,3.27,33,0,24
F,U3,3.34,77,0,0
M,U2,3.79,36,0,56
F,U4,3.4,92,0,4
F,U2,2.97,31,0,0
F,U4,3.62,66,0,16
F,U3,3.46,32,6,0
F,U4,3.51,108,4,48
F,U3,2.62,66,0,0
F,U4,3.48,68,25,0
M,U3,3.2,69,0,20
F,U2,3.08,32,0,0
F,U2,2.8,32,0,0
M,U2,2.46,24,0,28
M,U2,3.18,35,0,12
M,U4,3.35,96,0,0
